season,round,race_name,circuit_id,date,driver_id,driver_code,constructor_id,grid,position,points,status
2018,1,Australian Grand Prix,albert_park,2018-03-25,vettel,VET,ferrari,3,1,25.0,Finished
2018,1,Australian Grand Prix,albert_park,2018-03-25,hamilton,HAM,mercedes,1,2,18.0,Finished
2018,1,Australian Grand Prix,albert_park,2018-03-25,raikkonen,RAI,ferrari,2,3,15.0,Finished
2018,1,Australian Grand Prix,albert_park,2018-03-25,ricciardo,RIC,red_bull,8,4,12.0,Finished
2018,1,Australian Grand Prix,albert_park,2018-03-25,alonso,ALO,mclaren,10,5,10.0,Finished
2018,1,Australian Grand Prix,albert_park,2018-03-25,max_verstappen,VER,red_bull,4,6,8.0,Finished
2018,1,Australian Grand Prix,albert_park,2018-03-25,hulkenberg,HUL,renault,7,7,6.0,Finished
2018,1,Australian Grand Prix,albert_park,2018-03-25,bottas,BOT,mercedes,15,8,4.0,Finished
2018,1,Australian Grand Prix,albert_park,2018-03-25,vandoorne,VAN,mclaren,11,9,2.0,Finished
2018,1,Australian Grand Prix,albert_park,2018-03-25,sainz,SAI,renault,9,10,1.0,Finished
2018,1,Australian Grand Prix,albert_park,2018-03-25,perez,PER,force_india,12,11,0.0,Finished
2018,1,Australian Grand Prix,albert_park,2018-03-25,ocon,OCO,force_india,14,12,0.0,Finished
2018,1,Australian Grand Prix,albert_park,2018-03-25,leclerc,LEC,sauber,18,13,0.0,Finished
2018,1,Australian Grand Prix,albert_park,2018-03-25,stroll,STR,williams,13,14,0.0,Finished
2018,1,Australian Grand Prix,albert_park,2018-03-25,brendon_hartley,HAR,toro_rosso,16,15,0.0,+1 Lap
2018,1,Australian Grand Prix,albert_park,2018-03-25,grosjean,GRO,haas,6,16,0.0,Wheel
2018,1,Australian Grand Prix,albert_park,2018-03-25,kevin_magnussen,MAG,haas,5,17,0.0,Wheel
2018,1,Australian Grand Prix,albert_park,2018-03-25,gasly,GAS,toro_rosso,20,18,0.0,Engine
2018,1,Australian Grand Prix,albert_park,2018-03-25,ericsson,ERI,sauber,17,19,0.0,Steering
2018,1,Australian Grand Prix,albert_park,2018-03-25,sirotkin,SIR,williams,19,20,0.0,Brakes
2018,2,Bahrain Grand Prix,bahrain,2018-04-08,vettel,VET,ferrari,1,1,25.0,Finished
2018,2,Bahrain Grand Prix,bahrain,2018-04-08,bottas,BOT,mercedes,3,2,18.0,Finished
2018,2,Bahrain Grand Prix,bahrain,2018-04-08,hamilton,HAM,mercedes,9,3,15.0,Finished
2018,2,Bahrain Grand Prix,bahrain,2018-04-08,gasly,GAS,toro_rosso,5,4,12.0,Finished
2018,2,Bahrain Grand Prix,bahrain,2018-04-08,kevin_magnussen,MAG,haas,6,5,10.0,Finished
2018,2,Bahrain Grand Prix,bahrain,2018-04-08,hulkenberg,HUL,renault,7,6,8.0,Finished
2018,2,Bahrain Grand Prix,bahrain,2018-04-08,alonso,ALO,mclaren,13,7,6.0,+1 Lap
2018,2,Bahrain Grand Prix,bahrain,2018-04-08,vandoorne,VAN,mclaren,14,8,4.0,+1 Lap
2018,2,Bahrain Grand Prix,bahrain,2018-04-08,ericsson,ERI,sauber,17,9,2.0,+1 Lap
2018,2,Bahrain Grand Prix,bahrain,2018-04-08,ocon,OCO,force_india,8,10,1.0,+1 Lap
2018,2,Bahrain Grand Prix,bahrain,2018-04-08,sainz,SAI,renault,10,11,0.0,+1 Lap
2018,2,Bahrain Grand Prix,bahrain,2018-04-08,leclerc,LEC,sauber,19,12,0.0,+1 Lap
2018,2,Bahrain Grand Prix,bahrain,2018-04-08,grosjean,GRO,haas,16,13,0.0,+1 Lap
2018,2,Bahrain Grand Prix,bahrain,2018-04-08,stroll,STR,williams,20,14,0.0,+1 Lap
2018,2,Bahrain Grand Prix,bahrain,2018-04-08,sirotkin,SIR,williams,18,15,0.0,+1 Lap
2018,2,Bahrain Grand Prix,bahrain,2018-04-08,perez,PER,force_india,12,16,0.0,+1 Lap
2018,2,Bahrain Grand Prix,bahrain,2018-04-08,brendon_hartley,HAR,toro_rosso,11,17,0.0,+1 Lap
2018,2,Bahrain Grand Prix,bahrain,2018-04-08,raikkonen,RAI,ferrari,2,18,0.0,Wheel
2018,2,Bahrain Grand Prix,bahrain,2018-04-08,max_verstappen,VER,red_bull,15,19,0.0,Puncture
2018,2,Bahrain Grand Prix,bahrain,2018-04-08,ricciardo,RIC,red_bull,4,20,0.0,Electrical
2018,3,Chinese Grand Prix,shanghai,2018-04-15,ricciardo,RIC,red_bull,6,1,25.0,Finished
2018,3,Chinese Grand Prix,shanghai,2018-04-15,bottas,BOT,mercedes,3,2,18.0,Finished
2018,3,Chinese Grand Prix,shanghai,2018-04-15,raikkonen,RAI,ferrari,2,3,15.0,Finished
2018,3,Chinese Grand Prix,shanghai,2018-04-15,hamilton,HAM,mercedes,4,4,12.0,Finished
2018,3,Chinese Grand Prix,shanghai,2018-04-15,max_verstappen,VER,red_bull,5,5,10.0,Finished
2018,3,Chinese Grand Prix,shanghai,2018-04-15,hulkenberg,HUL,renault,7,6,8.0,Finished
2018,3,Chinese Grand Prix,shanghai,2018-04-15,alonso,ALO,mclaren,13,7,6.0,Finished
2018,3,Chinese Grand Prix,shanghai,2018-04-15,vettel,VET,ferrari,1,8,4.0,Finished
2018,3,Chinese Grand Prix,shanghai,2018-04-15,sainz,SAI,renault,9,9,2.0,Finished
2018,3,Chinese Grand Prix,shanghai,2018-04-15,kevin_magnussen,MAG,haas,11,10,1.0,Finished
2018,3,Chinese Grand Prix,shanghai,2018-04-15,ocon,OCO,force_india,12,11,0.0,Finished
2018,3,Chinese Grand Prix,shanghai,2018-04-15,perez,PER,force_india,8,12,0.0,Finished
2018,3,Chinese Grand Prix,shanghai,2018-04-15,vandoorne,VAN,mclaren,14,13,0.0,Finished
2018,3,Chinese Grand Prix,shanghai,2018-04-15,stroll,STR,williams,18,14,0.0,Finished
2018,3,Chinese Grand Prix,shanghai,2018-04-15,sirotkin,SIR,williams,16,15,0.0,Finished
2018,3,Chinese Grand Prix,shanghai,2018-04-15,ericsson,ERI,sauber,20,16,0.0,Finished
2018,3,Chinese Grand Prix,shanghai,2018-04-15,grosjean,GRO,haas,10,17,0.0,Finished
2018,3,Chinese Grand Prix,shanghai,2018-04-15,gasly,GAS,toro_rosso,17,18,0.0,Finished
2018,3,Chinese Grand Prix,shanghai,2018-04-15,leclerc,LEC,sauber,19,19,0.0,Finished
2018,3,Chinese Grand Prix,shanghai,2018-04-15,brendon_hartley,HAR,toro_rosso,15,20,0.0,Collision damage
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,hamilton,HAM,mercedes,2,1,25.0,Finished
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,raikkonen,RAI,ferrari,6,2,18.0,Finished
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,perez,PER,force_india,8,3,15.0,Finished
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,vettel,VET,ferrari,1,4,12.0,Finished
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,sainz,SAI,renault,9,5,10.0,Finished
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,leclerc,LEC,sauber,13,6,8.0,Finished
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,alonso,ALO,mclaren,12,7,6.0,Finished
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,stroll,STR,williams,10,8,4.0,Finished
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,vandoorne,VAN,mclaren,16,9,2.0,Finished
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,brendon_hartley,HAR,toro_rosso,19,10,1.0,Finished
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,ericsson,ERI,sauber,18,11,0.0,Finished
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,gasly,GAS,toro_rosso,17,12,0.0,Finished
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,kevin_magnussen,MAG,haas,15,13,0.0,Finished
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,bottas,BOT,mercedes,3,14,0.0,Puncture
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,grosjean,GRO,haas,20,15,0.0,Accident
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,max_verstappen,VER,red_bull,5,16,0.0,Collision
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,ricciardo,RIC,red_bull,4,17,0.0,Collision
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,hulkenberg,HUL,renault,14,18,0.0,Accident
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,ocon,OCO,force_india,7,19,0.0,Collision
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,sirotkin,SIR,williams,11,20,0.0,Collision
2018,5,Spanish Grand Prix,catalunya,2018-05-13,hamilton,HAM,mercedes,1,1,25.0,Finished
2018,5,Spanish Grand Prix,catalunya,2018-05-13,bottas,BOT,mercedes,2,2,18.0,Finished
2018,5,Spanish Grand Prix,catalunya,2018-05-13,max_verstappen,VER,red_bull,5,3,15.0,Finished
2018,5,Spanish Grand Prix,catalunya,2018-05-13,vettel,VET,ferrari,3,4,12.0,Finished
2018,5,Spanish Grand Prix,catalunya,2018-05-13,ricciardo,RIC,red_bull,6,5,10.0,Finished
2018,5,Spanish Grand Prix,catalunya,2018-05-13,kevin_magnussen,MAG,haas,7,6,8.0,+1 Lap
2018,5,Spanish Grand Prix,catalunya,2018-05-13,sainz,SAI,renault,9,7,6.0,+1 Lap
2018,5,Spanish Grand Prix,catalunya,2018-05-13,alonso,ALO,mclaren,8,8,4.0,+1 Lap
2018,5,Spanish Grand Prix,catalunya,2018-05-13,perez,PER,force_india,15,9,2.0,+2 Laps
2018,5,Spanish Grand Prix,catalunya,2018-05-13,leclerc,LEC,sauber,14,10,1.0,+2 Laps
2018,5,Spanish Grand Prix,catalunya,2018-05-13,stroll,STR,williams,18,11,0.0,+2 Laps
2018,5,Spanish Grand Prix,catalunya,2018-05-13,brendon_hartley,HAR,toro_rosso,20,12,0.0,+2 Laps
2018,5,Spanish Grand Prix,catalunya,2018-05-13,ericsson,ERI,sauber,17,13,0.0,+2 Laps
2018,5,Spanish Grand Prix,catalunya,2018-05-13,sirotkin,SIR,williams,19,14,0.0,+3 Laps
2018,5,Spanish Grand Prix,catalunya,2018-05-13,vandoorne,VAN,mclaren,11,15,0.0,Gearbox
2018,5,Spanish Grand Prix,catalunya,2018-05-13,ocon,OCO,force_india,13,16,0.0,Oil leak
2018,5,Spanish Grand Prix,catalunya,2018-05-13,raikkonen,RAI,ferrari,4,17,0.0,Turbo
2018,5,Spanish Grand Prix,catalunya,2018-05-13,grosjean,GRO,haas,10,18,0.0,Collision
2018,5,Spanish Grand Prix,catalunya,2018-05-13,gasly,GAS,toro_rosso,12,19,0.0,Collision
2018,5,Spanish Grand Prix,catalunya,2018-05-13,hulkenberg,HUL,renault,16,20,0.0,Collision
2018,6,Monaco Grand Prix,monaco,2018-05-27,ricciardo,RIC,red_bull,1,1,25.0,Finished
2018,6,Monaco Grand Prix,monaco,2018-05-27,vettel,VET,ferrari,2,2,18.0,Finished
2018,6,Monaco Grand Prix,monaco,2018-05-27,hamilton,HAM,mercedes,3,3,15.0,Finished
2018,6,Monaco Grand Prix,monaco,2018-05-27,raikkonen,RAI,ferrari,4,4,12.0,Finished
2018,6,Monaco Grand Prix,monaco,2018-05-27,bottas,BOT,mercedes,5,5,10.0,Finished
2018,6,Monaco Grand Prix,monaco,2018-05-27,ocon,OCO,force_india,6,6,8.0,Finished
2018,6,Monaco Grand Prix,monaco,2018-05-27,gasly,GAS,toro_rosso,10,7,6.0,Finished
2018,6,Monaco Grand Prix,monaco,2018-05-27,hulkenberg,HUL,renault,11,8,4.0,Finished
2018,6,Monaco Grand Prix,monaco,2018-05-27,max_verstappen,VER,red_bull,20,9,2.0,Finished
2018,6,Monaco Grand Prix,monaco,2018-05-27,sainz,SAI,renault,8,10,1.0,Finished
2018,6,Monaco Grand Prix,monaco,2018-05-27,ericsson,ERI,sauber,16,11,0.0,Finished
2018,6,Monaco Grand Prix,monaco,2018-05-27,perez,PER,force_india,9,12,0.0,Finished
2018,6,Monaco Grand Prix,monaco,2018-05-27,kevin_magnussen,MAG,haas,19,13,0.0,Finished
2018,6,Monaco Grand Prix,monaco,2018-05-27,vandoorne,VAN,mclaren,12,14,0.0,+1 Lap
2018,6,Monaco Grand Prix,monaco,2018-05-27,grosjean,GRO,haas,18,15,0.0,+1 Lap
2018,6,Monaco Grand Prix,monaco,2018-05-27,sirotkin,SIR,williams,13,16,0.0,+1 Lap
2018,6,Monaco Grand Prix,monaco,2018-05-27,stroll,STR,williams,17,17,0.0,+2 Laps
2018,6,Monaco Grand Prix,monaco,2018-05-27,leclerc,LEC,sauber,14,18,0.0,Collision
2018,6,Monaco Grand Prix,monaco,2018-05-27,brendon_hartley,HAR,toro_rosso,15,19,0.0,Collision
2018,6,Monaco Grand Prix,monaco,2018-05-27,alonso,ALO,mclaren,7,20,0.0,Gearbox
2018,7,Canadian Grand Prix,villeneuve,2018-06-10,vettel,VET,ferrari,1,1,25.0,Finished
2018,7,Canadian Grand Prix,villeneuve,2018-06-10,bottas,BOT,mercedes,2,2,18.0,Finished
2018,7,Canadian Grand Prix,villeneuve,2018-06-10,max_verstappen,VER,red_bull,3,3,15.0,Finished
